external_id,name,instruction,cook_time_min,base_portions,meal_type
oats_apple,Овсянка с яблоком,"1. Сварить овсянку на молоке. 2. Добавить нарезанное яблоко.",10,1,breakfast
cottage_nuts,Творог с орехами,"1. Размять творог. 2. Добавить рубленые орехи.",5,1,breakfast
omelet_tomato,Омлет с помидорами,"1. Взбить яйца. 2. Обжарить на масле с нарезанными помидорами.",10,1,breakfast
oats_banana,Овсянка с бананом,"1. Сварить овсянку на молоке. 2. Добавить нарезанный банан.",10,1,breakfast
buckwheat_milk,Гречневая каша на молоке,"1. Отварить гречку. 2. Залить горячим молоком. 3. Добавить сливочное масло.",15,1,breakfast
rice_apple,Рисовая каша с яблоком,"1. Сварить рис на молоке. 2. Добавить тёртое яблоко.",20,1,breakfast
millet_milk,Пшённая каша на молоке,"1. Отварить пшено. 2. Залить горячим молоком. 3. Добавить масло.",20,1,breakfast
greek_yogurt_banana,Греческий йогурт с бананом,"1. Размешать йогурт. 2. Добавить нарезанный банан и орехи.",3,1,breakfast
omelet_spinach,Омлет со шпинатом,"1. Взбить яйца. 2. Обжарить со шпинатом и сыром.",10,1,breakfast
buckwheat_chicken,Гречка с курицей,"1. Отварить гречку. 2. Обжарить куриное филе. 3. Подавать с тушёной морковью.",30,1,lunch
veggie_salad,Овощной салат,"1. Нарезать овощи. 2. Заправить маслом.",10,1,lunch
chicken_potato,Запечённое куриное филе с картофелем,"1. Запечь куриное филе. 2. Подавать с отварным картофелем под маслом.",35,1,lunch
beef_buckwheat,Тушёная говядина с гречкой,"1. Потушить говядину с морковью. 2. Подавать с гречкой.",60,1,lunch
chicken_apple_salad,Куриный салат с яблоком,"1. Отварить куриное филе. 2. Нарезать с яблоком и морковью. 3. Заправить маслом.",25,1,lunch
buckwheat_egg,Гречка с яйцом,"1. Отварить гречку. 2. Сварить яйцо. 3. Подавать с тушёной морковью.",20,1,lunch
turkey_rice,Индейка с рисом и брокколи,"1. Запечь индейку. 2. Отварить рис. 3. Приготовить брокколи на пару.",35,1,lunch
beef_pasta,Паста с говядиной,"1. Отварить макароны. 2. Потушить говядину с луком и томатом. 3. Соединить.",30,1,lunch
turkey_pearl_barley,Индейка с перловкой,"1. Отварить перловку. 2. Потушить индейку с морковью.",60,1,lunch
chicken_veggie_bowl,Боул с курицей и овощами,"1. Запечь куриное филе. 2. Отварить рис. 3. Нарезать огурец и перец. 4. Заправить оливковым маслом.",30,1,lunch
fresh_salad_egg,Свежий салат с яйцом,"1. Отварить яйцо. 2. Нарезать овощи. 3. Заправить маслом.",15,1,lunch
salmon_buckwheat,Лосось с гречкой,"1. Запечь лосось. 2. Отварить гречку. 3. Подавать вместе.",25,1,dinner
lentil_soup,Чечевичный суп,"1. Отварить чечевицу. 2. Добавить нарезанные морковь и картофель. 3. Варить до готовности.",40,1,dinner
salmon_vegetables,Запечённая рыба с овощами,"1. Запечь лосось с морковью и картофелем под маслом.",30,1,dinner
chicken_broth,Куриный бульон с яйцом,"1. Сварить куриный бульон с морковью и картофелем. 2. Добавить варёное яйцо.",45,1,dinner
cod_veggie,Тушёная треска с овощами,"1. Потушить треску с морковью, луком и кабачком.",30,1,dinner
mackerel_potato,Запечённая скумбрия с картофелем,"1. Запечь скумбрию. 2. Подавать с отварным картофелем.",30,1,dinner
white_bean_stew,Тушёная белая фасоль с овощами,"1. Замочить фасоль. 2. Отварить. 3. Потушить с морковью, луком и помидором.",90,1,dinner
turkey_brokkoli,Индейка с брокколи на пару,"1. Запечь индейку. 2. Приготовить брокколи на пару. 3. Полить оливковым маслом.",30,1,dinner
cabbage_chicken,Тушёная капуста с курицей,"1. Нарезать капусту. 2. Потушить с куриным филе и луком.",40,1,dinner
cheese_sandwich,Бутерброд с сыром,"1. Намазать хлеб маслом. 2. Положить сыр.",2,1,snack
banana_nuts,Банан с орехами,"1. Нарезать банан. 2. Посыпать рублеными орехами.",2,1,snack
cottage_apple,Творог с яблоком,"1. Размять творог. 2. Добавить тёртое яблоко.",3,1,snack
apple_nuts,Яблоко с орехами,"1. Нарезать яблоко. 2. Подавать с орехами.",2,1,snack
