recipe_external_id,diet_id
oats_apple,classic
oats_apple,vegetarian
cottage_nuts,classic
cottage_nuts,vegetarian
cottage_nuts,keto
omelet_tomato,classic
omelet_tomato,vegetarian
omelet_tomato,keto
omelet_tomato,paleo
oats_banana,classic
oats_banana,vegetarian
buckwheat_milk,classic
buckwheat_milk,vegetarian
rice_apple,classic
rice_apple,vegetarian
millet_milk,classic
millet_milk,vegetarian
greek_yogurt_banana,classic
greek_yogurt_banana,vegetarian
omelet_spinach,classic
omelet_spinach,vegetarian
omelet_spinach,keto
buckwheat_chicken,classic
veggie_salad,classic
veggie_salad,vegetarian
veggie_salad,vegan
veggie_salad,paleo
chicken_potato,classic
beef_buckwheat,classic
chicken_apple_salad,classic
chicken_apple_salad,paleo
buckwheat_egg,classic
buckwheat_egg,vegetarian
turkey_rice,classic
beef_pasta,classic
turkey_pearl_barley,classic
chicken_veggie_bowl,classic
chicken_veggie_bowl,paleo
fresh_salad_egg,classic
fresh_salad_egg,vegetarian
fresh_salad_egg,paleo
salmon_buckwheat,classic
lentil_soup,classic
lentil_soup,vegetarian
lentil_soup,vegan
salmon_vegetables,classic
salmon_vegetables,paleo
chicken_broth,classic
chicken_broth,paleo
cod_veggie,classic
cod_veggie,paleo
mackerel_potato,classic
white_bean_stew,classic
white_bean_stew,vegetarian
white_bean_stew,vegan
turkey_brokkoli,classic
turkey_brokkoli,paleo
turkey_brokkoli,keto
cabbage_chicken,classic
cabbage_chicken,paleo
cheese_sandwich,classic
cheese_sandwich,vegetarian
banana_nuts,classic
banana_nuts,vegetarian
banana_nuts,vegan
banana_nuts,paleo
cottage_apple,classic
cottage_apple,vegetarian
cottage_apple,keto
apple_nuts,classic
apple_nuts,vegetarian
apple_nuts,vegan
apple_nuts,paleo
kefir_apple,classic
kefir_apple,vegetarian
yogurt_nuts,classic
yogurt_nuts,vegetarian
yogurt_nuts,keto
cucumber_cottage,classic
cucumber_cottage,vegetarian
cucumber_cottage,keto
keto_avocado_eggs,keto
keto_avocado_eggs,classic
keto_avocado_eggs,paleo
keto_cheese_omelet,keto
keto_cheese_omelet,classic
keto_cheese_omelet,vegetarian
keto_cottage_coconut,keto
keto_cottage_coconut,classic
keto_cottage_coconut,vegetarian
keto_salmon_cream,keto
keto_salmon_cream,classic
keto_seabass_sour,keto
keto_seabass_sour,classic
keto_pork_cream,keto
keto_pork_cream,classic
keto_steak_butter,keto
keto_steak_butter,classic
keto_duck_cream,keto
keto_duck_cream,classic
keto_chicken_cream,keto
keto_chicken_cream,classic
keto_mackerel_lemon,keto
keto_mackerel_lemon,classic
keto_mackerel_lemon,paleo
keto_cheese_plate,keto
keto_cheese_plate,classic
keto_cheese_plate,vegetarian
keto_avocado_cottage,keto
keto_avocado_cottage,classic
keto_avocado_cottage,vegetarian
keto_almond_mix,keto
keto_almond_mix,classic
keto_almond_mix,vegetarian
vgn_oat_porridge,vegan
vgn_oat_porridge,vegetarian
vgn_oat_porridge,classic
vgn_oat_porridge,fasting
vgn_buckwheat_apple_seeds,vegan
vgn_buckwheat_apple_seeds,vegetarian
vgn_buckwheat_apple_seeds,classic
vgn_buckwheat_apple_seeds,fasting
vgn_smoothie_almond,vegan
vgn_smoothie_almond,vegetarian
vgn_smoothie_almond,classic
